cycle,px_hex,py_hex,v_hex,theta_hex,omega_hex,a_hex,z_hex,vz_hex,az_hex,p11_hex,p22_hex,p33_hex,p44_hex,p55_hex,p66_hex,p77_hex,p88_hex,p99_hex
84,0000C1F228EA,FFFEA7D00591,00000698D2C6,FFFFFEF82147,FFFFFFEA5CCA,00000166A5D2,FFFFFB658FD8,FFFFFF82E0E4,FFFFFFFFE8D1,00000134B3F0,00000121A682,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
85,0000C1F7CBBF,FFFEA4D55269,000006A8194C,FFFFFEF6B071,FFFFFFEA4955,00000149D2A2,FFFFFB9D7A92,FFFFFF83BC3B,FFFFFFFFEB1D,000001324807,00000121A884,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
86,0000C2A31E5C,FFFEA23964F8,000006B74778,FFFFFEF482AF,FFFFFFE9DDE9,00000154D0A9,FFFFFB917C4A,FFFFFF839817,FFFFFFFFEAD8,000001308BEE,00000121AAC4,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
87,0000C2D42E01,FFFE9E287DDD,000006CA2CD2,FFFFFEF22518,FFFFFFE990B7,000001412469,FFFFFB57A2DC,FFFFFF82C78C,FFFFFFFFE8ED,00000130609E,00000121AC92,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
88,0000C291C323,FFFE9A247E5E,000006DB925F,FFFFFEF033E9,FFFFFFE97A21,00000114C9CC,FFFFFB081CA9,FFFFFF81A589,FFFFFFFFE633,0000012F5B51,00000121AEF5,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
89,0000C2E039A9,FFFE94FCC7A4,000006F14166,FFFFFEECE521,FFFFFFE8EB92,0000010A7BC9,FFFFFB29CD80,FFFFFF822D74,FFFFFFFFE7C3,0000012D7F9B,00000121B19C,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
90,0000C2E33563,FFFE8F9D5C58,00000706E162,FFFFFEE9ABE8,FFFFFFE877F0,000000EF8892,FFFFFAD443BC,FFFFFF80F4E3,FFFFFFFFE4D8,0000012C6D4F,00000121B4AB,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
91,0000C33EDB87,FFFE8A4BB4BC,0000071CD6F4,FFFFFEE6356F,FFFFFFE7DB12,000000EBD85E,FFFFF9F2A762,FFFFFF7DAD7D,FFFFFFFFDCB2,0000012B2E46,00000121B7DA,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
92,0000C2CC4FB1,FFFE841D2D34,00000733C775,FFFFFEE29512,FFFFFFE7757E,000000B782D4,FFFFFA98FA2F,FFFFFF802873,FFFFFFFFE343,0000012A8CA4,00000121BB7D,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
93,0000C2A6CAF7,FFFE7E8FF574,000007489863,FFFFFEDF00D2,FFFFFFE6ED05,00000099FEBA,FFFFFB2E8012,FFFFFF826419,FFFFFFFFE933,00000128F958,00000121BEFF,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
