Cycle 95: imm_x=0x0000C106A839 imm_y=0xFFFE6A0E4FB9 imm_z=0xFFFFFA77DC0D p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 96: imm_x=0x0000C1FC3EA8 imm_y=0xFFFE63FD3A62 imm_z=0xFFFFFAE260D4 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 97: imm_x=0x0000C2452D0F imm_y=0xFFFE5E0C8517 imm_z=0xFFFFFB9B9231 p_ca=0x000000028F5C p_si=0x000000F290DA p_bi=0x0000000ADFCA
Cycle 98: imm_x=0x0000C20D183C imm_y=0xFFFE53FE59D6 imm_z=0xFFFFFB82F6D7 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 99: imm_x=0x0000C1883D5D imm_y=0xFFFE491DF3C0 imm_z=0xFFFFFB410F0D p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 100: imm_x=0x0000C041F737 imm_y=0xFFFE3DFAE3D8 imm_z=0xFFFFFB393B1C p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 101: imm_x=0x0000C01F11CD imm_y=0xFFFE329FC993 imm_z=0xFFFFFBA2A8EC p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 102: imm_x=0x0000BFD14197 imm_y=0xFFFE274F2D2A imm_z=0xFFFFFB5D5700 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 103: imm_x=0x0000BF2345F0 imm_y=0xFFFE1D298515 imm_z=0xFFFFFB21691E p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 104: imm_x=0x0000BEFCC673 imm_y=0xFFFE127656F1 imm_z=0xFFFFFB0CD3E0 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 105: imm_x=0x0000BF15D2C1 imm_y=0xFFFE05FEABEC imm_z=0xFFFFFAD9533F p_ca=0x000000028F5C p_si=0x000000EE7FC1 p_bi=0x0000000EF0E3
Cycle 106: imm_x=0x0000BFA42D08 imm_y=0xFFFDFA04FC71 imm_z=0xFFFFFB05DC56 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 107: imm_x=0x0000BEA2A4DE imm_y=0xFFFDEF5E03CF imm_z=0xFFFFFB8F0773 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 108: imm_x=0x0000BDF5178C imm_y=0xFFFDE3A61EFB imm_z=0xFFFFFB9403B4 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 109: imm_x=0x0000BD3219A4 imm_y=0xFFFDDA778143 imm_z=0xFFFFFB6FCBAC p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 110: imm_x=0x0000BBB9A17E imm_y=0xFFFDD4A2C3AF imm_z=0xFFFFFB4D4295 p_ca=0x000000028F5C p_si=0x000000C1D42B p_bi=0x0000003B9C79
Cycle 111: imm_x=0x0000BBD684FB imm_y=0xFFFDCD4F808E imm_z=0xFFFFFAE54739 p_ca=0x0000000B5873 p_si=0x000000F21831 p_bi=0x000000028F5C
Cycle 112: imm_x=0x0000BC40739D imm_y=0xFFFDCC504262 imm_z=0xFFFFFB9B5C7C p_ca=0x000000182AAB p_si=0x000000028F5C p_bi=0x000000E545F9
Cycle 113: imm_x=0x0000BD692ED9 imm_y=0xFFFDC7252C31 imm_z=0xFFFFFB69A335 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 114: imm_x=0x0000BBA97EF0 imm_y=0xFFFDC039E7AC imm_z=0xFFFFFB5A6489 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 115: imm_x=0x0000BB201AAD imm_y=0xFFFDBAB2FE8A imm_z=0xFFFFFC6082C1 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 116: imm_x=0x0000BA6FF795 imm_y=0xFFFDB5EAD0D2 imm_z=0xFFFFFC31F1B0 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 117: imm_x=0x0000B92D9E7E imm_y=0xFFFDB0F1986C imm_z=0xFFFFFBC8735C p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 118: imm_x=0x0000B9F39A35 imm_y=0xFFFDAC15AA7A imm_z=0xFFFFFB9701D2 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 119: imm_x=0x0000B9B476E0 imm_y=0xFFFDA8473237 imm_z=0xFFFFFBED02A0 p_ca=0x000000028F5C p_si=0x000000D822F5 p_bi=0x000000254DAF
Cycle 120: imm_x=0x0000B9348D86 imm_y=0xFFFDA235EA75 imm_z=0xFFFFFBCC2935 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 121: imm_x=0x0000B794DA6D imm_y=0xFFFD9CA10D5C imm_z=0xFFFFFB4A545A p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
